epoch,loss,val_loss
0,0.0023094904609024525,0.0007254976080730557
1,0.0012680644867941737,9.506735659670085e-05
2,0.0011121508432552218,0.00018742885731626302
3,0.0011240544263273478,0.0001235433155670762
4,0.0010465917875990272,7.736815314274281e-05
5,0.001049422542564571,8.458118099952117e-05
6,0.0010537684429436922,7.335098052863032e-05
7,0.0010336218401789665,7.317592098843306e-05
8,0.001031970838084817,7.001266203587875e-05
9,0.0010333324316889048,6.792228668928146e-05
10,0.0010355646954849362,6.797062087571248e-05
11,0.0010309715289622545,6.648503040196374e-05
12,0.0010312877129763365,6.712071626679972e-05
13,0.0010298625566065311,6.613021105295047e-05
14,0.0010335918050259352,6.805581506341696e-05
15,0.001031390274874866,6.79851436871104e-05
16,0.0010320955188944936,6.656183541053906e-05
17,0.0010314075043424964,6.618240149691701e-05
18,0.0010308970231562853,6.665336695732549e-05
19,0.001031622989103198,6.826694880146533e-05
20,0.0010315318359062076,6.833206862211227e-05
21,0.001031559077091515,6.736641080351546e-05
22,0.0010317601263523102,6.783053686376661e-05
23,0.0010323692113161087,6.92020621499978e-05
24,0.0010333354584872723,7.006907253526151e-05
25,0.0010329437209293246,7.017151801846921e-05
26,0.0010342522291466594,7.102137169567868e-05
27,0.0010343905305489898,7.40858813514933e-05
28,0.001036485773511231,7.51340267015621e-05
29,0.00103948381729424,7.657925016246736e-05
30,0.0010359932202845812,7.44848875910975e-05
31,0.0010393518023192883,7.609075692016631e-05
32,0.0010373652912676334,7.652996282558888e-05
33,0.0010383297922089696,7.388831727439538e-05
34,0.0010351405944675207,7.298763375729322e-05
35,0.001037093810737133,7.513146556448191e-05
36,0.0010345805203542113,7.378237933153287e-05
37,0.0010344106703996658,7.316661503864452e-05
38,0.0010331158991903067,7.52871492295526e-05
39,0.0010338700376451015,7.586403808090836e-05
40,0.0010378306033089757,7.812705734977499e-05
41,0.001033117761835456,7.590642053401098e-05
42,0.0010377877624705434,7.955937326187268e-05
43,0.0010378132574260235,8.046085713431239e-05
44,0.0010341794695705175,7.79226902523078e-05
45,0.001044684206135571,8.496703958371654e-05
46,0.0010352638782933354,7.631054904777557e-05
47,0.0010367416543886065,7.492356962757185e-05
48,0.001032989239320159,7.577670476166531e-05
49,0.001033398206345737,7.666012970730662e-05
50,0.0010328959906473756,7.757550338283181e-05
51,0.0010323196183890104,7.473857112927362e-05
52,0.0010343685280531645,7.646206358913332e-05
53,0.001029950799420476,7.231241033878177e-05
54,0.0010290674399584532,7.111165905371308e-05
55,0.0010274490341544151,7.135876512620598e-05
56,0.0010262676514685154,7.168192678363994e-05
57,0.0010258844122290611,7.318947609746829e-05
58,0.0010243761353194714,7.271923095686361e-05
59,0.0010263265576213598,7.450378325302154e-05
60,0.0010274396045133471,7.557327626273036e-05
61,0.0010267933830618858,7.4545678216964e-05
62,0.001027266844175756,7.398796151392162e-05
63,0.001027264865115285,7.539069338236004e-05
64,0.0010272653307765722,7.660196570213884e-05
65,0.0010275900131091475,7.63282660045661e-05
66,0.0010258994298055768,7.740034197922796e-05
67,0.0010276578832417727,7.73525025579147e-05
68,0.0010306769981980324,7.904436643002555e-05
69,0.0010264806915074587,7.78489193180576e-05
70,0.0010313543025404215,7.827371882740408e-05
71,0.001025654375553131,7.473741425201297e-05
72,0.0010274528758600354,7.511048170272261e-05
73,0.001023663324303925,7.479271880583838e-05
74,0.0010260343551635742,7.679076952626929e-05
75,0.0010212378110736609,7.312958041438833e-05
76,0.0010229609906673431,7.306433690246195e-05
77,0.0010200621327385306,7.360307790804654e-05
78,0.0010214544599875808,7.43658747524023e-05
79,0.0010205639991909266,7.459036714863032e-05
80,0.001019718125462532,7.36921647330746e-05
81,0.001022199634462595,7.54430511733517e-05
82,0.001020244788378477,7.461890345439315e-05
83,0.0010216132504865527,7.50650797272101e-05
84,0.001019530463963747,7.49936662032269e-05
85,0.0010206602746620774,7.594690396217629e-05
86,0.0010202268604189157,7.462366193067282e-05
87,0.0010194232454523444,7.381639443337917e-05
88,0.0010194976348429918,7.401953189400956e-05
89,0.0010175224160775542,7.600389653816819e-05
90,0.0010171779431402683,7.954027387313545e-05
91,0.0010181774850934744,7.653583452338353e-05
92,0.0010200893739238381,8.270121907116845e-05
93,0.0010196064831689,8.273959247162566e-05
94,0.0010198013624176383,7.82835777499713e-05
95,0.0010211936896666884,7.860462937969714e-05
96,0.0010158702498301864,7.677329995203763e-05
97,0.0010213839123025537,7.9039265983738e-05
98,0.0010127000277861953,7.506660040235147e-05
99,0.0010120709193870425,7.149827433750033e-05
