epoch,loss,val_loss
0,0.001014700741507113,0.0005188336363062263
1,0.0003526083892211318,3.974969149567187e-05
2,0.0001938380883075297,0.00010757524432847276
3,0.00017458760703448206,7.896288298070431e-05
4,0.00016479207260999829,3.366847522556782e-05
5,0.00013694977678824216,4.413989154272713e-05
6,0.00013078814663458616,3.398306216695346e-05
7,0.00013419614697340876,3.636190012912266e-05
8,0.00013356759154703468,3.116475272690877e-05
9,0.00012826442252844572,3.0881223210599273e-05
10,0.00012742898252326995,3.132837082375772e-05
11,0.000129292908241041,3.318539893371053e-05
12,0.0001310946827288717,3.503549305605702e-05
13,0.00013201545516494662,3.614558227127418e-05
14,0.00013248700997792184,3.67420980182942e-05
15,0.00013297292753122747,3.7114572478458285e-05
16,0.00013367806968744844,3.763754284591414e-05
17,0.00013474613660946488,3.8651553040836006e-05
18,0.00013612651673611253,3.999841646873392e-05
19,0.00013760956062469631,4.132816320634447e-05
20,0.00013907725224271417,4.262411312083714e-05
21,0.00014047084550838917,4.397347947815433e-05
22,0.0001416797167621553,4.551755773718469e-05
23,0.00014255530550144613,4.7314857511082664e-05
24,0.00014305152581073344,4.93519073643256e-05
25,0.00014314803411252797,5.131607758812606e-05
26,0.00014283678319770843,5.31946134287864e-05
27,0.0001422291388735175,5.559630517382175e-05
28,0.00014144156011752784,5.807551497127861e-05
29,0.0001404371578246355,5.826465712743811e-05
30,0.00013846044021192938,5.668483572662808e-05
31,0.0001365687494399026,5.483616405399516e-05
32,0.00013540773943532258,5.310064443619922e-05
33,0.00013437178859021515,5.099369082017802e-05
34,0.00013325073814485222,4.893813456874341e-05
35,0.00013223894347902387,4.750346488435753e-05
36,0.0001314924593316391,4.644436921807937e-05
37,0.00013118349306751043,4.605500362231396e-05
38,0.00013132134336046875,4.6325341827468947e-05
39,0.00013188215962145478,4.653040741686709e-05
40,0.0001325862540397793,4.7056419134605676e-05
41,0.0001331646926701069,4.7562120016664267e-05
42,0.00013360631419345737,4.8132005758816376e-05
43,0.0001340081071248278,4.903301305603236e-05
44,0.0001344012125628069,4.958744830219075e-05
45,0.00013472590944729745,5.0194237701362e-05
46,0.00013486652460414916,5.055111614638008e-05
47,0.00013482262147590518,5.1094841182930395e-05
48,0.00013485999079421163,5.136665276950225e-05
49,0.00013477157335728407,5.171339580556378e-05
50,0.0001345465861959383,5.1601069571916014e-05
51,0.00013427490193862468,5.142558802617714e-05
52,0.0001339037116849795,5.122769653098658e-05
53,0.0001335662673227489,5.107694960315712e-05
54,0.00013327441411092877,5.096157838124782e-05
55,0.00013296942051965743,5.078472531749867e-05
56,0.00013268810289446265,5.062823765911162e-05
57,0.00013247079914435744,5.0215170631418005e-05
58,0.0001320856245001778,4.9967005907092243e-05
59,0.00013170094462111592,4.945829277858138e-05
60,0.00013143500837031752,4.9176822358276695e-05
61,0.00013113507884554565,4.881180211668834e-05
62,0.00013082702935207635,4.8561505536781624e-05
63,0.00013058632612228394,4.838592576561496e-05
64,0.00013037247117608786,4.825041105505079e-05
65,0.00013015374133829027,4.801902105100453e-05
66,0.00012991012772545218,4.7780704335309565e-05
67,0.00012967103975825012,4.7569588787155226e-05
68,0.00012946754577569664,4.728333078674041e-05
69,0.00012925098417326808,4.706855906988494e-05
70,0.00012903299648314714,4.686379907070659e-05
71,0.00012887519551441073,4.668818655773066e-05
72,0.00012876557593699545,4.659439218812622e-05
73,0.00012861487630289048,4.639329563360661e-05
74,0.00012845984019804746,4.626317604561336e-05
75,0.00012830652121920139,4.614852150552906e-05
76,0.0001281454460695386,4.6017561544431373e-05
77,0.00012799972319044173,4.581589746521786e-05
78,0.0001278132403967902,4.551355596049689e-05
79,0.00012757857621181756,4.5278477045940235e-05
80,0.00012736397911794484,4.504815296968445e-05
81,0.00012720460654236376,4.478467963053845e-05
82,0.00012705009430646896,4.4582538976101205e-05
83,0.00012689671711996198,4.4294130930211395e-05
84,0.00012676641927100718,4.4198150135343894e-05
85,0.0001266502367798239,4.409561734064482e-05
86,0.00012653636804316193,4.382627594168298e-05
87,0.00012643523223232478,4.381218968774192e-05
88,0.00012636487372219563,4.3806165194837376e-05
89,0.00012631085701286793,4.402345803100616e-05
90,0.0001263046870008111,4.420792174641974e-05
91,0.0001262608711840585,4.4086606067139655e-05
92,0.0001260525459656492,4.392787013784982e-05
93,0.00012581871123984456,4.358031219453551e-05
94,0.0001255298120668158,4.344229455455206e-05
95,0.00012532470282167196,4.280123539501801e-05
96,0.00012500848970375955,4.243342482368462e-05
97,0.0001246914325747639,4.176884249318391e-05
98,0.00012448514462448657,4.176587026449852e-05
99,0.0001245357998413965,4.195266592432745e-05
