Date,temp_max,temp_min,temp_mean,precip,pressure,sunshine,wind
2005-03-04,2.85787,-6.3887014,-1.7211214,2.7394543,998.76135,2.394358,2.1749005
2005-03-05,1.8003337,-6.200809,-2.1617289,2.8663795,997.00714,1.7345717,2.188994
2005-03-06,1.7500229,-6.0245237,-1.4956019,1.0873518,999.8883,3.880159,2.10874
2005-03-07,1.6475158,-6.8738728,-1.8174969,0.29511338,1002.0065,4.987941,2.0737743
2005-03-08,1.5434408,-5.543934,-1.6878036,2.3688624,1001.7885,2.9018395,2.232531
2005-03-09,5.0297484,-2.3094623,1.3634161,2.7376509,1002.1333,2.656685,2.214241
2005-03-10,2.610169,-4.0048337,-0.72173095,0.5272197,1009.6629,4.099791,2.1616125
2005-03-11,3.351605,-4.8656483,-0.604535,0.23386621,1009.23737,5.622934,2.1182044
2005-03-12,7.8671775,-1.6166264,3.1673555,3.6291573,999.11566,3.981786,2.2277002
2005-03-13,6.922308,-1.5668843,2.616574,3.0054781,1001.13214,3.4288337,2.2175388
2005-03-14,9.619405,-1.0737834,4.425324,1.0173331,1004.2745,5.2931466,2.0595396
2005-03-15,12.347456,0.1303946,6.5865297,0.4895139,1006.3939,6.7413597,2.0050228
2005-03-16,16.443401,2.2085414,9.698663,-0.2116459,1009.6784,8.057379,1.9168842
2005-03-17,20.128685,4.426949,12.615378,-0.005757965,1010.04694,8.608969,1.86671
2005-03-18,21.12282,6.637562,13.913371,1.7259291,1009.08966,7.0940657,1.9009597
2005-03-19,14.4790945,5.111703,9.378425,3.7603934,1009.54535,3.7153177,2.0199146
2005-03-20,9.649355,0.9327535,5.3733244,0.5451217,1013.7984,6.277543,1.9131707
2005-03-21,11.073726,0.5946668,6.064572,1.105552,1010.2152,7.530923,1.9821978
2005-03-22,12.748665,1.114941,7.125604,1.9378661,1007.2502,7.39914,2.0503209
2005-03-23,15.97872,3.2415206,9.661608,2.2818725,1006.39014,7.1596317,2.059052
2005-03-24,17.122385,5.342374,10.970855,3.5309525,1005.7885,5.324101,2.0875075
2005-03-25,17.248308,6.648911,11.420074,4.0790696,1006.07965,3.6043646,2.0625277
2005-03-26,20.056458,8.209676,13.965612,2.866534,1003.9441,5.335029,1.9217656
2005-03-27,21.192934,9.205603,14.903502,3.7870188,1001.8968,4.2664003,1.9118471
2005-03-28,16.29027,7.6146183,11.426364,4.510803,1002.2543,2.4306276,1.9597361
2005-03-29,17.578156,6.519622,12.114475,1.0082843,1004.1302,6.4131947,1.7642466
2005-03-30,15.104159,6.166382,10.205274,3.7172077,1004.55316,3.6570961,1.9819686
2005-03-31,14.727414,4.5501957,9.6264305,0.51362437,1008.0286,7.035348,1.8445089
2005-04-01,12.3180065,3.7344377,7.6424637,2.2690537,1010.9976,5.172683,2.0125153
2005-04-02,14.870648,3.6932223,9.126539,-0.024939515,1013.6369,7.5580964,1.8336722
2005-04-03,15.930739,3.3215182,9.607645,-0.112478994,1014.2922,8.321876,1.8306609
2005-04-04,17.879992,4.009679,11.040939,0.5370283,1012.54193,8.376499,1.8274136
2005-04-05,19.535091,4.7045074,12.310703,0.54074895,1011.6135,8.395951,1.7643667
2005-04-06,20.11436,5.2021,13.017999,0.8128441,1010.24725,8.536036,1.7514524
2005-04-07,21.748056,6.681859,14.582578,2.1749883,1005.31476,7.698665,1.7864367
2005-04-08,22.058908,8.038986,15.396919,3.4812977,1000.875,6.675845,1.8533188
2005-04-09,17.617043,7.5820704,12.545804,5.3969026,999.29004,3.810886,2.0590153
2005-04-10,14.918099,6.6448555,10.469796,4.3074265,1003.5595,3.2775102,2.0582461
2005-04-11,11.54545,4.8143883,7.730087,3.5624964,1007.33276,3.144569,2.1082704
2005-04-12,12.939982,5.654051,8.66896,3.893605,1006.23773,3.0626123,2.1274233
2005-04-13,14.246861,6.7558317,9.752488,4.4347124,1003.21985,2.8121552,2.14404
2005-04-14,14.091363,7.285712,9.885563,5.0001507,1000.2717,2.362892,2.182568
2005-04-15,20.66945,9.621801,14.86564,2.8317811,996.85944,6.2156,2.0123632
2005-04-16,19.877432,9.165106,14.217214,3.5045266,997.0288,5.867091,2.0784335
2005-04-17,17.82539,8.940002,12.936174,5.1872134,994.1634,4.2809334,2.1828833
2005-04-18,15.084221,8.229652,11.1393175,6.1529894,992.5296,2.4945028,2.258355
2005-04-19,12.988812,7.1209426,9.593463,5.335286,994.4544,2.4014664,2.2814493
2005-04-20,18.152948,7.9918437,13.060597,2.5696917,995.21027,6.0600815,2.1095178
2005-04-21,10.241607,3.753313,6.5613146,3.9217951,1001.21985,3.0795615,2.32094
2005-04-22,13.266629,3.2610972,8.306192,0.8110278,1003.1587,6.8037424,2.1113594
2005-04-23,17.55766,4.4486866,11.1180315,0.6593295,1003.6665,8.08508,2.0557292
2005-04-24,19.026457,6.476008,12.474105,3.1061256,1002.6705,5.6636257,2.1454434
2005-04-25,21.493681,8.418969,14.862345,2.924465,1000.4327,6.318135,2.042707
2005-04-26,15.74796,6.339459,10.827355,3.6364496,1003.8627,4.4713893,2.1420522
2005-04-27,23.116354,8.984688,16.40392,0.6067008,1003.62274,9.054353,1.8828874
2005-04-28,20.889627,8.478591,14.751308,1.843011,1007.56683,7.685692,1.9723825
2005-04-29,20.609745,7.821298,14.479269,0.6962523,1008.17084,9.469223,1.8940825
2005-04-30,21.283045,8.308213,14.9405985,1.5696,1007.1591,9.336011,1.9218285
2005-05-01,23.763767,9.811442,16.97227,1.8098283,1005.00745,9.831446,1.8784931
2005-05-02,26.990896,11.620213,19.625622,1.8191391,1003.6348,10.167224,1.8108054
2005-05-03,28.195606,12.629313,20.855799,2.1185377,1002.3203,10.079219,1.7708405
2005-05-04,23.51627,10.81851,17.517685,2.6209397,1003.20123,8.871165,1.8383696
2005-05-05,19.467142,9.727111,14.66047,4.502071,1001.71606,6.432108,1.9847775
2005-05-06,17.35744,9.135043,13.2221,4.9890757,999.17346,5.606677,2.0857556
2005-05-07,20.835495,9.407479,15.4879675,1.8866478,1000.4319,9.274835,1.9112502
2005-05-08,13.675198,6.6105695,9.720583,5.1640587,1002.68134,4.459454,2.2566938
2005-05-09,13.940674,6.60824,9.841,4.288853,1001.4822,4.8883953,2.216595
