epoch,loss,val_loss
0,0.003920793998986483,0.00016696241800673306
1,0.0018687339033931494,0.00032760907197371125
2,0.001537167583592236,7.015714072622359e-05
3,0.0012469765497371554,0.00015423473087139428
4,0.0012536861468106508,8.835615881253034e-05
5,0.0011668949155136943,0.00010977784404531121
6,0.0011780785862356424,7.035865564830601e-05
7,0.0011423304677009583,9.285607666242868e-05
8,0.0011628421489149332,6.266537820920348e-05
9,0.0011324804509058595,8.231555693782866e-05
10,0.0011541614076122642,5.760656131315045e-05
11,0.0011333749862387776,7.155460480134934e-05
12,0.0011513562640175223,5.840571611770429e-05
13,0.0011399169452488422,6.724409468006343e-05
14,0.0011509191244840622,5.798145502922125e-05
15,0.0011441169772297144,6.159099575597793e-05
16,0.001148903276771307,6.112107803346589e-05
17,0.001148800365626812,5.6857152230804786e-05
18,0.0011428766883909702,6.129549001343548e-05
19,0.0011478554224595428,5.769680137746036e-05
20,0.0011452198959887028,5.8299418014939874e-05
21,0.0011455410858616233,5.880025855731219e-05
22,0.0011469073360785842,5.7007622672244906e-05
23,0.0011452960316091776,5.8551435358822346e-05
24,0.0011467084987089038,5.773374141426757e-05
25,0.00114559312351048,5.822969978908077e-05
26,0.0011452343314886093,5.940248956903815e-05
27,0.00114576262421906,5.8623023505788296e-05
28,0.0011445413110777736,5.861025783815421e-05
29,0.0011438534129410982,6.0270849644439295e-05
30,0.0011454611085355282,5.8496883866610005e-05
31,0.0011429254664108157,5.976257671136409e-05
32,0.001143795670941472,5.816214979859069e-05
33,0.001141323009505868,6.0894650232512504e-05
34,0.0011435580672696233,5.872628389624879e-05
35,0.0011405922705307603,6.025283437338658e-05
36,0.0011412338353693485,5.972144936094992e-05
37,0.001140113454312086,5.9546739066718146e-05
38,0.0011391023872420192,6.0065325669711456e-05
39,0.001139385742135346,6.023297828505747e-05
40,0.0011390005238354206,5.8723897382151335e-05
41,0.0011366355465725064,6.044228211976588e-05
42,0.001137654180638492,5.9754904214059934e-05
43,0.0011364874662831426,5.851396781508811e-05
44,0.0011340671917423606,5.9765072364825755e-05
45,0.0011345254024490714,5.830769441672601e-05
46,0.0011321105994284153,5.846440399182029e-05
47,0.0011306781088933349,5.8104764320887625e-05
48,0.0011296103475615382,5.710767436539754e-05
49,0.0011279958998784423,5.62866116524674e-05
50,0.0011259126476943493,5.575825343839824e-05
51,0.0011248098453506827,5.2557119488483295e-05
52,0.0011205747723579407,5.612809400190599e-05
53,0.0011227816576138139,5.318783951224759e-05
54,0.0011181228328496218,5.577511910814792e-05
55,0.0011198031716048717,5.560903446166776e-05
56,0.001118672895245254,5.50717995793093e-05
57,0.001117319450713694,5.628999133477919e-05
58,0.0011183713795617223,5.4501044360222295e-05
59,0.0011156478431075811,5.54190955881495e-05
60,0.001115653314627707,5.5649659771006554e-05
61,0.0011153798550367355,5.375295950216241e-05
62,0.001112353173084557,5.610735752270557e-05
63,0.0011143547017127275,5.4015406931284815e-05
64,0.0011108865728601813,5.5728753068251535e-05
65,0.0011117564281448722,5.342558870324865e-05
66,0.0011091794585809112,5.558691918849945e-05
67,0.0011105218436568975,5.794944809167646e-05
68,0.0011126541066914797,5.192389289732091e-05
69,0.001105245086364448,5.677900480804965e-05
70,0.001109554199501872,5.463408160721883e-05
71,0.0011060427641496062,5.897471055504866e-05
72,0.0011109474580734968,5.112737926538102e-05
73,0.0011011399328708649,5.900898395339027e-05
74,0.0011083584977313876,5.386730481404811e-05
75,0.001101415604352951,5.594090180238709e-05
76,0.001103422837331891,5.5832879297668114e-05
77,0.0011029057204723358,5.462866829475388e-05
78,0.0011004593688994646,5.800049621029757e-05
79,0.0011041628895327449,5.309432162903249e-05
80,0.001097966218367219,6.007987758493982e-05
81,0.0011063227429986,5.035591311752796e-05
82,0.00109408563002944,6.235860200831667e-05
83,0.0011071899207308888,5.33530765096657e-05
84,0.001098076580092311,5.57663370273076e-05
85,0.0010997109347954392,5.516630335478112e-05
86,0.001098255394026637,5.60413500352297e-05
87,0.0010983298998326063,5.51180201000534e-05
88,0.0010966428089886904,5.987377153360285e-05
89,0.0011036628857254982,5.147220508661121e-05
90,0.0010917006293311715,6.596285675186664e-05
91,0.0011086473241448402,4.860537592321634e-05
92,0.0010883116628974676,6.578027387149632e-05
93,0.0011069924803450704,4.943974272464402e-05
94,0.0010886895470321178,6.524514901684597e-05
95,0.0011091039050370455,4.8823480028659105e-05
96,0.0010876053711399436,7.021625060588121e-05
97,0.0011106564197689295,4.878690742771141e-05
98,0.0010851810220628977,6.455872789956629e-05
99,0.001103586400859058,4.849744072998874e-05
